antigen,Danger,Safe,class
1,0,0,1
2,0.0079365,0,1
3,0.015873,0.5,1
4,0.015873,0.5,1
5,0.015873,0.5,1
6,0.015873,0.5,1
7,0.015873,0.5,1
8,0.015873,0.5,1
9,0.015873,0.5,1
10,0.0079365,0.096496059,1
11,0.0238095,0.508725433,1
12,0.015873,0.5,1
13,0.015873,0.5,1
14,0.015873,0.5,1
15,0.015873,0.5,1
16,0.031746,0,1
17,0.0396825,1.72E-05,1
18,0.031746,0,1
19,0.015873,0.5,1
20,0.047619,0.5000344,1
21,0.0079365,0.155784257,1
22,0.015873,0.5,1
23,0.015873,0.5,1
24,0.015873,0.5,1
25,0.015873,0.5,1
26,0.031746,0,1
27,0.031746,0,1
28,0.031746,0,1
29,0,0.5,1
30,0.015873,0.5,1
31,0.047619,0.5,1
32,0.015873,0.5,1
33,0.0555555,0,1
34,0.031746,0,1
35,0,0.5,1
36,0.015873,0.5,1
37,0.015873,0.5,1
38,0.015873,0.5,1
39,0.015873,0.5,1
40,0.015873,0.5,1
41,0.0079365,0.005421127,1
42,0.015873,0.5,1
43,0.015873,0.5,1
44,0.031746,0,1
45,0.047619,0.5000344,1
46,0.0079365,0,1
47,0.015873,0.5,1
48,0.0079365,0.018621141,1
49,0.015873,0,1
50,0.015873,0.5,1
51,0.078373,0,1
52,0.015873,0.5,1
53,0.015873,0.5,1
54,0.015873,0.5,1
55,0.015873,0.5,1
56,0.015873,0.5,1
57,0.078373,0,1
58,0.015873,0.5,1
59,0.047619,0.5,1
60,0.078373,0,1
61,0.015873,0.5,1
62,0.015873,0.5,1
63,0.0396825,0,1
64,0.015873,0.5,1
65,0.015873,0.5,1
66,0.015873,0.504130383,1
67,0.063492,0,1
68,0.031746,0,1
69,0.047619,0.5000172,1
70,0.031746,0,1
71,0.0714285,0.5004475,1
72,0.015873,0.5,1
73,0.015873,0.5,1
74,0.0079365,0,1
75,0.015873,0.5,1
76,0.015873,0.5,1
77,0.015873,0.5,1
78,0.015873,0.5,1
79,0.015873,0.5,1
80,0.015873,0.5,1
81,0.015873,0.5,1
82,0.031746,0,1
83,0,0.5,1
84,0.015873,0.5,1
85,0,0.5,1
86,0.031746,0,1
87,0,0.5,1
88,0.063492,0.0001205,1
89,0.015873,0.5,1
90,0,0,1
