service,flag,src_bytes,dst_bytes,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,class
http,SF,54540,8314,1,1,0,0,1,0,251,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,79,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,4,0,0,1,0,68,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,214,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,4,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,118,1,0,0,0,anomaly
http,SF,54540,8314,1,5,0,0,1,0,175,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,80,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,197,1,0,0,0,anomaly
http,SF,54540,8314,1,5,0,0,1,0,235,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,180,1,0,0,0,anomaly
http,SF,54540,8314,1,5,0,0,1,0,13,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,254,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,13,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,80,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,4,0,0,1,0,63,1,0,0,0,anomaly
http,S2,54540,8315,1,2,0.5,0.5,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,246,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,155,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,104,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,171,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,118,1,0,0,0,anomaly
http,RSTR,54540,8314,1,3,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,5,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,6,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,132,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,115,1,0,0,0,anomaly
http,SF,54540,8314,1,1,0,0,1,0,219,1,0,0,0,anomaly
http,SF,54540,8314,1,5,0.2,0.2,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,1,0,0,1,0,169,1,0,0,0,anomaly
http,RSTR,54540,8314,1,5,0,0,1,0,213,1,0,0,0,anomaly
http,SF,54540,8314,1,6,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,141,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,152,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,5,0,0,1,0,130,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,179,1,0,0,0,anomaly
http,S2,54540,8315,1,2,0.5,0.5,1,0,255,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,2,0,0,1,0,106,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,5,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,177,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,46,1,0,0,0,anomaly
http,SF,54540,8314,1,6,0,0,1,0,255,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,2,0,0,1,0,159,1,0,0,0,anomaly
http,RSTR,29200,2920,1,4,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,38,1,0,0.03,0.03,anomaly
http,SF,54540,8314,1,4,0,0,1,0,50,1,0,0.02,0.02,anomaly
http,RSTR,54540,7300,1,2,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,1,0,0,1,0,181,1,0,0,0,anomaly
http,SF,54540,8314,1,5,0,0,1,0,255,1,0,0,0,anomaly
http,RSTR,54540,8314,1,4,0,0,1,0,144,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,3,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,255,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,1,0,0,1,0,255,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,5,0,0,1,0,32,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,134,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,24,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,100,1,0,0,0,anomaly
http,SF,54540,8314,1,1,0,0,1,0,1,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,69,1,0,0,0,anomaly
http,RSTR,54060,7300,1,3,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,110,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,45,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,255,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,4,0,0,1,0,101,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,165,1,0,0,0,anomaly
http,SF,54540,8314,1,5,0,0,1,0,252,1,0,0,0,anomaly
http,SF,54540,8314,1,1,0,0,1,0,203,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,109,1,0,0,0,anomaly
http,RSTR,33336,2920,1,5,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,11,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,5,0,0,0.8,0.4,74,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,249,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,255,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,2,0,0,1,0,248,1,0,0,0,anomaly
http,SF,54540,8314,1,1,0,0,1,0,255,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,4,0,0,1,0,255,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,3,0,0,1,0,34,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,92,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,255,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,2,0,0,1,0,87,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,136,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,49,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,49,1,0,0,0,anomaly
http,SF,54540,8314,1,6,0,0,1,0,255,1,0,0,0,anomaly
http,RSTR,54060,2920,1,4,0,0,1,0,255,1,0,0,0,anomaly
http,S1,54540,4380,1,2,0.5,0.5,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,5,0,0,1,0,135,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,32,1,0,0.03,0.03,anomaly
http,SF,54540,8314,1,7,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,1,0,0,1,0,146,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,15,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,6,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,90,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,34,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,39,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,57,1,0,0,0,anomaly
http,S2,54540,8315,1,6,0.17,0.17,1,0,255,1,0,0.01,0.01,anomaly
http,RSTR,54540,7300,1,2,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,57,1,0,0.02,0.02,anomaly
http,SF,54540,8314,1,4,0,0,1,0,32,1,0,0,0,anomaly
http,RSTR,49640,0,1,2,0,0,1,0,255,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,3,0,0,1,0,91,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,2,0,0,1,0,107,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,67,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,74,1,0,0,0,anomaly
http,RSTR,54060,7300,1,4,0,0,1,0,19,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,105,1,0,0,0,anomaly
http,SF,54540,8314,1,5,0,0,1,0,26,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,52,1,0,0.02,0.02,anomaly
http,SF,54540,8314,1,4,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,237,1,0,0,0,anomaly
http,SF,54540,8314,1,6,0,0,1,0,255,1,0,0,0,anomaly
http,RSTR,54540,8314,1,2,0,0,1,0,48,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,72,1,0,0.01,0.01,anomaly
http,RSTR,45260,4380,1,3,0,0,1,0,15,1,0,0,0,anomaly
http,SF,54540,8314,1,4,0,0,1,0,18,1,0,0,0,anomaly
http,SF,54540,8314,1,6,0,0,1,0,12,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,96,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,82,1,0,0,0,anomaly
http,RSTR,47612,2920,1,2,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,85,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,158,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,41,1,0,0.02,0.02,anomaly
http,SF,54540,8314,1,3,0,0,1,0,11,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,255,1,0,0.01,0.01,anomaly
http,SF,54540,8314,1,6,0,0,1,0,255,1,0,0,0,anomaly
http,SF,54540,8314,1,3,0,0,1,0,183,1,0,0,0,anomaly
http,SF,54540,8314,1,2,0,0,1,0,36,1,0,0,0,anomaly
